Obec_Kod,Obec_Nazev,registered,envelopes,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
589951,Raková u Konice,163,104,101,0,0,16,0,5,0,0,5,0,1,10,0,0
589969,Rakůvka,80,61,61,0,0,8,0,1,1,0,0,0,0,4,11,0
589977,Rozstání,503,294,290,0,1,28,0,24,7,0,6,5,6,19,16,0
506770,Seloutky,410,288,287,0,0,33,0,34,2,0,6,3,3,29,19,0
589993,Skalka,212,131,131,0,0,20,0,7,1,0,7,1,1,14,7,0
590002,Skřípov,274,145,144,0,0,43,0,4,2,0,1,1,2,12,11,0
590011,Slatinky,453,314,313,0,0,30,0,32,0,1,16,2,7,44,15,0
590029,Smržice,1319,797,786,0,0,45,2,92,7,0,20,2,4,66,62,0
590045,Srbce,73,39,39,0,0,11,0,2,0,0,6,3,0,0,1,0
590053,Stařechovice,447,279,278,0,0,30,0,23,1,0,17,6,1,11,26,1
590061,Stínava,126,74,73,0,0,7,0,3,0,0,1,0,0,5,7,0
590070,Stražisko,345,222,220,0,0,25,0,3,1,0,4,2,1,14,20,1
590088,Suchdol,499,360,356,0,0,25,0,18,1,2,12,3,3,31,41,0
590096,Šubířov,204,110,109,0,0,14,1,6,1,0,6,1,2,12,9,0
590100,Tištín,393,215,215,2,0,15,0,6,0,0,17,4,5,6,32,1
590118,Tvorovice,252,152,152,0,0,22,0,9,1,0,14,0,1,8,9,0
590126,Určice,1101,613,611,0,5,69,1,68,5,1,29,11,18,38,35,0
590134,Víceměřice,354,204,204,0,0,19,0,11,2,0,3,1,1,18,33,0
590142,Vícov,404,254,250,1,0,24,0,17,4,1,5,3,4,20,11,0
544710,Vincencov,109,80,80,0,0,5,0,3,0,0,5,1,1,9,5,0
590151,Vitčice,146,84,84,0,1,5,0,6,2,0,3,0,0,6,5,1
590177,Vranovice-Kelčice,492,321,318,0,0,22,0,23,0,0,7,5,1,14,17,1
590185,Vrbátky,1306,863,857,4,1,85,1,68,6,1,31,11,7,68,60,1
590193,Vrchoslavice,478,282,275,1,0,31,0,17,1,0,16,3,3,18,20,0
590207,Vřesovice,419,281,280,0,0,41,0,15,0,0,8,1,3,14,16,0
590215,Výšovice,399,266,263,1,2,25,1,28,1,0,2,3,3,21,25,0
590223,Zdětín,282,196,194,1,0,16,0,6,0,0,13,0,1,21,21,0
590240,Želeč,436,278,278,2,0,49,0,21,7,0,17,2,3,17,15,0
